Date,Word,% Monitored Articles
12/27/20,refugee/refugees,0.0183
12/28/20,refugee/refugees,0.0112
12/29/20,refugee/refugees,0.0138
12/30/20,refugee/refugees,0.0157
12/31/20,refugee/refugees,0.0214
1/1/21,refugee/refugees,0.0597
1/2/21,refugee/refugees,0.0179
1/3/21,refugee/refugees,0.0238
1/4/21,refugee/refugees,0.0145
1/5/21,refugee/refugees,0.0126
1/6/21,refugee/refugees,0.012
1/7/21,refugee/refugees,0.0069
1/8/21,refugee/refugees,0.013
1/9/21,refugee/refugees,0.0119
1/10/21,refugee/refugees,0.0103
1/11/21,refugee/refugees,0.0155
1/12/21,refugee/refugees,0.0127
1/13/21,refugee/refugees,0.008
1/14/21,refugee/refugees,0.0077
1/15/21,refugee/refugees,0.0154
1/16/21,refugee/refugees,0.0179
1/17/21,refugee/refugees,0.0202
1/18/21,refugee/refugees,0.012
1/19/21,refugee/refugees,0.0197
1/20/21,refugee/refugees,0.0167
1/21/21,refugee/refugees,0.0138
1/22/21,refugee/refugees,0.0189
1/23/21,refugee/refugees,0.0227
1/24/21,refugee/refugees,0.0081
1/25/21,refugee/refugees,0.0099
1/26/21,refugee/refugees,0.0204
1/27/21,refugee/refugees,0.0402
1/28/21,refugee/refugees,0.013
1/29/21,refugee/refugees,0.0132
1/30/21,refugee/refugees,0.0105
1/31/21,refugee/refugees,0.0101
2/1/21,refugee/refugees,0.0082
2/2/21,refugee/refugees,0.0088
2/3/21,refugee/refugees,0.0074
2/4/21,refugee/refugees,0.0111
2/5/21,refugee/refugees,0.0126
2/6/21,refugee/refugees,0.0135
2/7/21,refugee/refugees,0.0163
2/8/21,refugee/refugees,0.0132
2/9/21,refugee/refugees,0.016
2/10/21,refugee/refugees,0.0118
2/11/21,refugee/refugees,0.0131
2/12/21,refugee/refugees,0.0195
2/13/21,refugee/refugees,0.0123
2/14/21,refugee/refugees,0.0122
2/15/21,refugee/refugees,0.0139
2/16/21,refugee/refugees,0.0175
2/17/21,refugee/refugees,0.0169
2/18/21,refugee/refugees,0.0119
2/19/21,refugee/refugees,0.0093
2/20/21,refugee/refugees,0.0129
2/21/21,refugee/refugees,0.0099
2/22/21,refugee/refugees,0.0206
2/23/21,refugee/refugees,0.0133
2/24/21,refugee/refugees,0.0162
2/25/21,refugee/refugees,0.0131
2/26/21,refugee/refugees,0.0164
2/27/21,refugee/refugees,0.0127
2/28/21,refugee/refugees,0.0144
3/1/21,refugee/refugees,0.0403
3/2/21,refugee/refugees,0.0159
3/3/21,refugee/refugees,0.0121
3/4/21,refugee/refugees,0.009
3/5/21,refugee/refugees,0.0146
3/6/21,refugee/refugees,0.0128
3/7/21,refugee/refugees,0.0128
3/8/21,refugee/refugees,0.0083
3/9/21,refugee/refugees,0.0084
3/10/21,refugee/refugees,0.008
3/11/21,refugee/refugees,0.0118
3/12/21,refugee/refugees,0.007
3/13/21,refugee/refugees,0.0114
3/14/21,refugee/refugees,0.0091
3/15/21,refugee/refugees,0.0201
3/16/21,refugee/refugees,0.0155
3/17/21,refugee/refugees,0.0192
3/18/21,refugee/refugees,0.0115
3/19/21,refugee/refugees,0.0106
